3.981278	3.981278	1
10.246551	10.246551	2-3
31.410184	31.410184	4
37.120214	37.120214	5
51.821348	51.821348	6
61.619987	61.619987	7
65.628150	65.628150	8
76.703887	76.703887	9
82.192427	82.192427	10
89.652084	89.652084	11
103.995160	103.995160	12
112.273048	112.273048	13
120.269420	120.269420	14
130.921169	130.921169	15-16
147.770554	147.770554	17
153.836767	153.836767	18
166.099806	166.099806	19
176.512051	176.512051	20
182.418627	182.418627	21
191.771853	191.771853	22
197.633139	197.633139	23
207.707440	207.707440	24
215.529738	215.529738	25
230.107365	230.107365	26
239.882449	239.882449	end of chapter 2
