3.832565	3.832565	1
10.160002	10.160002	2
18.533699	18.533699	3
26.559095	26.559095	4
40.274410	40.274410	5
54.525657	54.525657	6
60.127471	60.127471	7
66.972446	66.972446	8
71.340700	71.340700	9
82.921653	82.921653	10
94.937979	94.937979	11
102.277514	102.277514	12
114.380915	114.380915	13
121.463001	121.463001	14
129.170426	129.170426	15
139.329156	139.329156	16
144.175892	144.175892	17
157.687003	157.687003	18
163.566071	163.566071	19
172.534779	172.534779	20-21
190.036752	190.036752	22-23
206.156026	206.156026	24
218.564190	218.564190	25
235.311582	235.311582	26
244.265777	244.265777	27
263.497143	263.497143	end of chapter 17
